Salinity_Time,Salinity,Datetime
2022-05-15 03:15:00,29.7,2022-05-15 03:15:00
2022-05-18 06:15:00,30.1,2022-05-18 06:15:00
2022-05-15 02:15:00,29.6,2022-05-15 02:15:00
2022-08-15 05:30:00,31.2,2022-08-15 05:30:00
2022-05-15 03:00:00,29.7,2022-05-15 03:00:00
2022-09-11 04:45:00,31.6,2022-09-11 04:45:00
2022-05-15 02:30:00,29.6,2022-05-15 02:30:00
2022-05-16 04:15:00,30.0,2022-05-16 04:15:00
2022-05-17 03:15:00,30.0,2022-05-17 03:15:00
2022-06-13 02:45:00,29.3,2022-06-13 02:45:00
2022-05-16 02:45:00,30.0,2022-05-16 02:45:00
2022-06-17 04:45:00,31.0,2022-06-17 04:45:00
2022-06-18 06:00:00,31.4,2022-06-18 06:00:00
2022-05-18 06:00:00,30.1,2022-05-18 06:00:00
2022-05-16 04:00:00,30.0,2022-05-16 04:00:00
2022-05-20 06:30:00,30.3,2022-05-20 06:30:00
2022-06-13 02:00:00,29.4,2022-06-13 02:00:00
2022-05-16 03:00:00,30.0,2022-05-16 03:00:00
2022-05-20 06:45:00,30.4,2022-05-20 06:45:00
2022-05-16 03:45:00,30.0,2022-05-16 03:45:00
2022-05-16 03:15:00,30.0,2022-05-16 03:15:00
2022-05-16 03:30:00,30.0,2022-05-16 03:30:00
2022-05-18 05:45:00,30.2,2022-05-18 05:45:00
2022-06-14 02:30:00,29.4,2022-06-14 02:30:00
2022-05-17 04:45:00,30.1,2022-05-17 04:45:00
2022-05-17 03:45:00,30.1,2022-05-17 03:45:00
2022-05-19 06:15:00,29.9,2022-05-19 06:15:00
2022-05-19 05:45:00,29.9,2022-05-19 05:45:00
2022-05-17 04:30:00,30.2,2022-05-17 04:30:00
2022-05-17 04:00:00,30.1,2022-05-17 04:00:00
2022-05-17 04:15:00,30.1,2022-05-17 04:15:00
2022-06-16 04:15:00,31.4,2022-06-16 04:15:00
2022-05-18 05:00:00,30.0,2022-05-18 05:00:00
2022-06-15 03:30:00,30.1,2022-06-15 03:30:00
2022-06-16 04:30:00,31.5,2022-06-16 04:30:00
2022-06-15 03:45:00,30.2,2022-06-15 03:45:00
2022-06-16 04:45:00,31.5,2022-06-16 04:45:00
