Date,Time,Temp,pH,Battery
2019-08-26,19:59:59,22.81,7.9522,10.22
2019-08-26,20:59:59,23.12,7.9765,10.23
2019-08-26,21:59:59,23.37,7.9821,10.24
2019-08-26,22:59:59,20.5,8.0536,10.2
2019-08-26,23:59:59,20.38,8.0535,10.19
2019-08-27,00:59:59,20.16,8.0329,10.18
2019-08-27,01:59:59,20.74,8.0325,10.17
2019-08-27,02:59:59,20.62,8.04,10.17
2019-08-27,03:59:59,20.5,8.023,10.16
2019-08-27,04:59:59,20.4,7.9987,10.16
2019-08-27,05:59:59,20.25,8.006,10.16
2019-08-27,06:59:59,20.08,7.9799,10.16
2019-08-27,07:59:59,19.94,7.9693,10.14
2019-08-27,08:59:59,19.77,7.962,10.13
2019-08-27,09:59:59,19.6,7.9407,10.13
2019-08-27,10:59:59,19.43,7.9322,10.12
2019-08-27,11:59:59,18.11,7.8897,10.08
2019-08-27,12:59:59,18.02,7.886,10.09
2019-08-27,13:59:59,18.83,7.904,10.08
2019-08-27,14:59:59,19.62,7.8921,10.09
2019-08-27,15:59:59,20.16,7.9108,10.1
2019-08-27,16:59:59,21.02,7.9079,10.12
2019-08-27,17:59:59,21.29,7.9282,10.13
2019-08-27,18:59:59,21.61,7.9639,10.14
2019-08-27,19:59:59,21.71,7.9743,10.14
2019-08-27,20:59:59,21.73,7.9746,10.15
2019-08-27,21:59:59,21.86,7.9743,10.15
2019-08-27,22:59:59,21.83,7.9788,10.15
2019-08-27,23:59:59,20.21,8.1057,10.02
2019-08-28,00:59:59,20.11,8.0159,10.04
2019-08-28,01:59:59,20.13,8.0325,10.04
2019-08-28,02:59:59,20.3,7.9924,10.05
2019-08-28,03:59:59,20.21,7.9677,10.05
2019-08-28,04:59:59,20.16,7.9807,10.04
2019-08-28,05:59:59,20.11,7.966,10.05
2019-08-28,06:59:59,20.06,7.9387,10.06
2019-08-28,07:59:59,20.01,7.9457,10.05
2019-08-28,08:59:59,19.94,7.9297,10.07
2019-08-28,09:59:59,19.87,7.9296,10.08
2019-08-28,10:59:59,19.77,7.9029,10.05
2019-08-28,11:59:59,19.72,7.9033,10.05
2019-08-28,13:59:59,19.21,7.8744,10.0
2019-08-28,14:59:59,19.55,7.8993,10.01
2019-08-28,15:59:59,20.33,7.8806,10.02
2019-08-28,16:59:59,20.52,7.9147,10.03
2019-08-28,17:59:59,20.67,7.9107,10.04
2019-08-28,18:59:59,20.87,7.9291,10.06
2019-08-28,19:59:59,20.99,7.9285,10.07
2019-08-28,20:59:59,21.16,7.9341,10.07
2019-08-28,21:59:59,21.53,7.96,10.07
2019-08-28,22:59:59,21.46,7.927,10.08
2019-08-28,23:59:59,21.53,7.9462,10.08
2019-08-29,00:59:59,20.38,7.9904,10.07
2019-08-29,01:59:59,19.72,7.9938,10.03
2019-08-29,02:59:59,19.82,7.9854,10.03
2019-08-29,03:59:59,20.25,7.9467,10.03
2019-08-29,04:59:59,20.3,7.9276,10.03
2019-08-29,05:59:59,21.11,7.9121,10.04
2019-08-29,06:59:59,21.26,7.9363,10.05
2019-08-29,07:59:59,20.82,7.8871,10.05
2019-08-29,08:59:59,20.99,7.9133,10.05
2019-08-29,09:59:59,20.84,7.8839,10.05
2019-08-29,10:59:59,21.02,7.8793,10.05
2019-08-29,11:59:59,21.11,7.8782,10.05
2019-08-29,12:59:59,21.04,7.8662,10.05
2019-08-29,13:59:59,20.21,7.7296,10.02
2019-08-29,14:59:59,20.16,7.7793,10.02
2019-08-29,15:59:59,20.65,7.7756,10.02
2019-08-29,16:59:59,20.94,7.7455,10.03
2019-08-29,17:59:59,21.71,7.7768,10.03
2019-08-29,18:59:59,22.33,7.7867,10.05
2019-08-29,19:59:59,23.12,7.8069,10.06
2019-08-29,20:59:59,23.12,7.8033,10.07
2019-08-29,21:59:59,23.4,7.8475,10.07
2019-08-29,22:59:59,23.37,7.8479,10.07
2019-08-29,23:59:59,23.22,7.8395,10.07
2019-08-30,00:59:59,23.09,7.8361,10.07
2019-08-30,01:59:59,21.86,7.8996,9.93
2019-08-30,02:59:59,20.77,7.9363,9.92
2019-08-30,03:59:59,20.94,7.9329,9.92
2019-08-30,04:59:59,21.06,7.8991,9.92
2019-08-30,05:59:59,21.24,7.8799,9.92
2019-08-30,06:59:59,21.02,7.882,9.92
2019-08-30,07:59:59,20.89,7.8872,9.92
2019-08-30,08:59:59,20.67,7.8842,9.92
2019-08-30,09:59:59,20.55,7.8515,9.92
2019-08-30,10:59:59,20.45,7.8441,9.92
2019-08-30,11:59:59,20.38,7.8235,9.91
2019-08-30,12:59:59,20.55,7.8152,9.91
2019-08-30,13:59:59,21.36,7.8182,9.91
2019-08-30,14:59:59,20.55,7.8247,9.73
2019-08-30,15:59:59,21.16,7.8766,9.76
2019-08-30,16:59:59,21.39,7.8658,9.78
2019-08-30,17:59:59,22.23,7.8499,9.81
2019-08-30,18:59:59,22.58,7.8864,9.84
2019-08-30,19:59:59,23.07,7.9164,9.87
2019-08-30,20:59:59,23.09,7.9213,9.89
2019-08-30,21:59:59,23.07,7.9311,9.91
2019-08-30,22:59:59,22.86,7.9326,9.92
2019-08-30,23:59:59,22.61,7.9216,9.93
2019-08-31,00:59:59,22.41,7.9056,9.92
2019-08-31,01:59:59,22.28,7.9033,9.91
2019-08-31,02:59:59,21.61,7.9089,9.66
2019-08-31,03:59:59,21.21,7.9536,9.69
