"Plot Title: Carolina No 2 June_2_2022"
"#","Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 20182877, SEN S/N: 20182877)","Temp, °F (LGR S/N: 20182877, SEN S/N: 20182877)","Coupler Detached (LGR S/N: 20182877)","Coupler Attached (LGR S/N: 20182877)","Host Connected (LGR S/N: 20182877)","Stopped (LGR S/N: 20182877)","End Of File (LGR S/N: 20182877)"
190,06/06/22 12:30:00 PM,0.0,71.51,,,,,
191,06/06/22 01:00:00 PM,0.0,71.53,,,,,
192,06/06/22 01:30:00 PM,0.0,71.56,,,,,
193,06/06/22 02:00:00 PM,0.0,71.62,,,,,
194,06/06/22 02:30:00 PM,0.0,71.67,,,,,
195,06/06/22 03:00:00 PM,0.0,71.71,,,,,
196,06/06/22 03:30:00 PM,0.0,71.76,,,,,
197,06/06/22 04:00:00 PM,0.0,71.92,,,,,
198,06/06/22 04:30:00 PM,0.0,71.96,,,,,
199,06/06/22 05:00:00 PM,0.0,72.01,,,,,
200,06/06/22 05:30:00 PM,0.0,72.01,,,,,
201,06/06/22 06:00:00 PM,0.0,71.94,,,,,
202,06/06/22 06:30:00 PM,0.0,71.89,,,,,
203,06/06/22 07:00:00 PM,0.0,71.89,,,,,
204,06/06/22 07:30:00 PM,0.0,71.82,,,,,
205,06/06/22 08:00:00 PM,0.0,71.80,,,,,
206,06/06/22 08:30:00 PM,0.0,71.78,,,,,
207,06/06/22 09:00:00 PM,0.0,71.80,,,,,
208,06/06/22 09:30:00 PM,0.0,71.64,,,,,
209,06/06/22 10:00:00 PM,0.0,71.31,,,,,
210,06/06/22 10:30:00 PM,0.0,71.04,,,,,
211,06/06/22 11:00:00 PM,0.0,70.77,,,,,
212,06/06/22 11:30:00 PM,0.0,70.52,,,,,
213,06/07/22 12:00:00 AM,0.0,70.27,,,,,
214,06/07/22 12:30:00 AM,0.0,70.05,,,,,
215,06/07/22 01:00:00 AM,0.0,69.85,,,,,
216,06/07/22 01:30:00 AM,0.0,69.69,,,,,
217,06/07/22 02:00:00 AM,0.0,69.58,,,,,
218,06/07/22 02:30:00 AM,0.0,69.94,,,,,
219,06/07/22 03:00:00 AM,0.0,70.32,,,,,
220,06/07/22 03:30:00 AM,0.0,70.56,,,,,
221,06/07/22 04:00:00 AM,0.0,70.68,,,,,
222,06/07/22 04:30:00 AM,0.0,70.79,,,,,
223,06/07/22 05:00:00 AM,0.0,70.88,,,,,
224,06/07/22 05:30:00 AM,0.0,70.93,,,,,
225,06/07/22 06:00:00 AM,0.0,71.01,,,,,
226,06/07/22 06:30:00 AM,0.0,71.04,,,,,
227,06/07/22 07:00:00 AM,0.0,71.10,,,,,
228,06/07/22 07:30:00 AM,0.0,71.15,,,,,
229,06/07/22 08:00:00 AM,0.0,71.19,,,,,
