Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out,Saturation Aragonite Out (MCHP73),"Saturation Aragonite Out (H73a,H73b,MCHP73)",Saturation Aragonite Out (MCHP73 refit),Saturation Aragonite Out (RRV93)
277.7501,18.88,1680.2,10.87,2021-10-04 18:00:08,11.65237,2021-10-04 18:03:42,25.944,1825.5424,0.6042541383682133,0.726528661182084,0.6326903365797255,0.6055750836044451,0.6655087925894174
277.7709,19.0,1623.7,10.87,2021-10-04 18:30:05,11.65237,2021-10-04 18:33:42,25.978,1827.3988,0.626458763817402,0.7514287170758278,0.6556609237890857,0.6278069909812659,0.6899071393262584
277.7918,18.97,1629.6,10.87,2021-10-04 19:00:11,11.65237,2021-10-04 19:03:42,25.867,1821.3382,0.6189811777634768,0.7489085712745135,0.6478353434461485,0.6203064928666417,0.6815502365619404
277.8126,18.9,1656.3,10.87,2021-10-04 19:30:08,11.65237,2021-10-04 19:33:42,25.759,1815.4414,0.6042020813169313,0.7373504157170662,0.632468730460427,0.6054975884581568,0.6651932656482169
277.8334,18.88,1650.1,10.87,2021-10-04 20:00:05,11.65237,2021-10-04 20:03:42,26.0,1828.6,0.6171405733997994,0.7389425033573233,0.6460892709113618,0.6184872192262595,0.6796741285761989
277.8543,19.0,1590.8,10.87,2021-10-04 20:30:11,11.65237,2021-10-04 20:33:42,26.187,1838.8102,0.648452926357774,0.7659431969415686,0.6786203787448555,0.6498599744487549,0.7142468103448809
277.8751,18.88,1579.9,10.87,2021-10-04 21:00:08,11.65237,2021-10-04 21:03:42,25.515,1802.119,0.619924004562761,0.7727793926602748,0.6485442947670098,0.6212096198871889,0.6819704149264829
277.8959,18.88,1655.9,10.87,2021-10-04 21:30:05,11.65237,2021-10-04 21:33:42,25.778,1816.4788,0.605040406208245,0.7372287653263966,0.633363607626955,0.6063409603841239,0.6661235863638838
277.9168,18.59,1673.7,10.87,2021-10-04 22:00:11,11.65237,2021-10-04 22:03:42,26.069,1832.3674,0.6098338193010626,0.7263756024211117,0.6387196804836802,0.6111978382204651,0.671578924890106
277.9376,18.09,1624.4,10.86,2021-10-04 22:30:08,11.65237,2021-10-04 22:03:42,26.069,1832.3674,0.6232617595156131,0.7425986374891708,0.6528579807117116,0.6246728073453918,0.6858686065595305
277.9584,18.54,1682.3,10.86,2021-10-04 23:00:05,11.65237,2021-10-04 23:03:42,25.472,1799.7712,0.5799998003599252,0.7253917572984675,0.6073195663962654,0.5812468436079519,0.6380698469837396
277.9793,18.83,1870.2,10.86,2021-10-04 23:30:11,11.65237,2021-10-04 23:33:42,25.282,1789.3972,0.5191707669930392,0.6602716605509759,0.5439609630898152,0.5202913499296152,0.571493133616766
278.0001,18.47,1769.5,10.86,2021-10-05 00:00:08,11.65237,2021-10-05 00:03:42,25.463,1799.2798,0.5520531834759685,0.6906684202945524,0.5783766963403186,0.5532631760395279,0.6074643858959424
278.0209,18.35,1813.7,10.86,2021-10-05 00:30:05,11.65237,2021-10-05 00:33:42,25.206,1785.2476,0.5279536860393514,0.6764442635151992,0.5532270056883308,0.5291033539329715,0.5806698182785841
278.0418,18.11,1721.6,10.86,2021-10-05 01:00:11,11.65237,2021-10-05 00:33:42,25.206,1785.2476,0.5529830438918392,0.7087969484692136,0.5792781422049033,0.55417909669231,0.6078519733647934
278.0626,18.8,1772.6,10.86,2021-10-05 01:30:08,11.65237,2021-10-05 01:33:42,25.907,1823.5222,0.5723786197445523,0.6899010701977025,0.5996589325806572,0.5736538213310027,0.6305442099908884
278.0834,18.59,1789.4,10.86,2021-10-05 02:00:05,11.65237,2021-10-05 02:03:42,25.334,1792.2364,0.5417756527296856,0.6858512907179697,0.5675598529932284,0.5429485244633491,0.5961289359754902
278.1043,19.02,1799.3,10.86,2021-10-05 02:30:11,11.65237,2021-10-05 02:33:42,26.826,1873.6996,0.6056637368294828,0.6856387431684462,0.6347803403445916,0.6070848868411799,0.6683462734950478
278.1251,19.19,1672.7,10.86,2021-10-05 03:00:08,11.65237,2021-10-05 03:03:42,26.748,1869.4408,0.6462221266121276,0.7352434669257539,0.6766762035004799,0.6476832405297983,0.7127535166688566
278.1459,18.95,1609.5,10.86,2021-10-05 03:30:05,11.65237,2021-10-05 03:33:42,26.479,1854.7534,0.6548850213813315,0.7581333105912524,0.6855592757619989,0.6563438146462626,0.7216702043131787
278.1668,18.71,1754.7,10.86,2021-10-05 04:00:11,11.65237,2021-10-05 04:03:42,26.124,1835.3704,0.5866016503991606,0.6955976855676697,0.6146252126687092,0.587930415706189,0.6463382479463409
278.1876,18.33,1809.0,10.86,2021-10-05 04:30:08,11.65237,2021-10-05 04:03:42,26.124,1835.3704,0.5671051790582451,0.6723255594144478,0.5945811058375218,0.5684253201559246,0.6247272203528677
278.2084,18.47,2013.4,10.86,2021-10-05 05:00:05,11.65237,2021-10-05 05:03:42,25.294,1790.0524,0.4818519242982786,0.6115891258414414,0.5053940535402909,0.4829377630831388,0.5304182812516104
278.2293,18.42,2033.5,10.86,2021-10-05 05:30:11,11.65237,2021-10-05 05:03:42,25.294,1790.0524,0.47694235094732557,0.6052815127685135,0.5003154637167699,0.47802291696282634,0.5250073549247929
278.2501,17.71,2063.8,10.86,2021-10-05 06:00:08,11.65237,2021-10-05 05:03:42,25.294,1790.0524,0.4654689650056298,0.5903041603776374,0.4886673588606945,0.46655625207372375,0.5119434553456894
278.3751,17.5,2126.3,10.84,2021-10-05 09:00:08,11.65237,2021-10-05 09:33:42,25.378,1794.6388,0.4538207123152198,0.5707542529425027,0.4766864451593487,0.4549022590655995,0.4991251412901963
278.3959,18.3,1970.6,10.85,2021-10-05 09:30:05,11.65237,2021-10-05 09:33:42,25.378,1794.6388,0.49386150431025794,0.6219889866054301,0.5180008963918692,0.4949827840667156,0.543560279396223
278.5418,17.38,2345.0,10.85,2021-10-05 13:00:11,11.65237,2021-10-05 13:33:42,25.649,1809.4354,0.42065137340701075,0.5160161964154123,0.44237602960185923,0.42170336558879074,0.4629517797410038
