STN_ID,STN_EQUIV,SAMP_DATE,UNIQUE_ID,SOURCE,LAB,GEN_QC,TIME,TIME_QC,DUP,SAMPDEP_M,SAMPDEP_QC,SECCHI_M,SECC_QC,TOTDEP_M,TOTDEP_QC,TEMP_C,TEMP_QC,SAL_FIELD,SAL_METH,SAL_QC,SAL_LAB,SAL_LAB_QC,COND,DO_MGL,DO_SAT,DO_METH,DO_QC,PO4_UM,PO4_QC,TP_UM,TP_QC,NH4_UM,NH4_QC,NO2NO3_UM,NO2NO3_QC,TDN_UM,TDN_QC,PON_UM,PON_QC,TN_UM,TN_QC,POC_UM,POC_QC,CHLA_UGL_LAB,CHLA_LAB_QC,CHLA_LAB_METH,CHLA_UGL_ SONDE,CHLA_SONDE_QC,CHLA_SONDE_METH,PHEO_UGL,PHEO_QC,DOC_UM,DOC_QC,PH,PH_QC,BEAU,BEAU_QC,TIDE,WHTR,PREC,WIND,OBS_COMM,QA_COM
FC1X,FC1,8/2/1993,FC1X-X-1993-08-02-0650-D-2.97-0,BBC,,,6:50 AM,,0,2.97,,,,3,,24,,32,S1,11,,,,6.5,93.00%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,2,1,SW,,
FC1X,FC1,8/2/1993,FC1X-X-1993-08-02-0635-S-0.15-0,BBC,,,6:35 AM,,0,0.15,,,,3,,24,,31,S1,11,,,,7,99.60%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,2,1,SW,,
FC1X,FC1,8/9/1993,FC1X-X-1993-08-09-0655-S-0.15-0,BBC,,,6:55 AM,,0,0.15,,,,2.27,,22.5,,30,S1,11,,,,7.5,103.30%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,2,SSE,,
FC1X,FC1,8/9/1993,FC1X-X-1993-08-09-0710-D-2-0,BBC,,,7:10 AM,,0,2,,,,2.27,,23,,31,S1,11,,,,7,97.80%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,2,SSE,,
FC1X,FC1,8/16/1993,FC1X-X-1993-08-16-0640-S--0,BBC,,,6:40 AM,,0,,,,,3,,23.5,,28.5,S1,11,,,,7,97.30%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,4,1,SE,,
FC1X,FC1,8/16/1993,FC1X-X-1993-08-16-0655-D-2.97-0,BBC,,,6:55 AM,,0,2.97,,,,3,,24.5,,32,S1,11,,,,5.5,79.40%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,4,1,SE,,
FC1X,FC1,8/20/1993,FC1X-X-1993-08-20-0700-S-0.15-0,BBC,,,7:00 AM,,0,0.15,,,,2.46,,22.5,,29.5,S1,11,,,,7,96.10%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,2,1,SW,,
FC1X,FC1,8/20/1993,FC1X-X-1993-08-20-0720-D-2.16-0,BBC,,,7:20 AM,,0,2.16,,,,2.46,,23.5,,31,S1,11,,,,6,84.60%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,2,1,SW,,
FC1X,FC1,9/3/1993,FC1X-X-1993-09-03-0705-D-2.74-0,BBC,,,7:05 AM,,0,2.74,,,,2.77,,23,,30.5,S1,11,,,,7,97.50%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,3,1,SW,,
FC1X,FC1,9/3/1993,FC1X-X-1993-09-03-0645-S-0.15-0,BBC,,,6:45 AM,,0,0.15,,,,2.77,,23,,30,S1,11,,,,7,97.30%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,3,1,SW,,
FC1X,FC1,9/13/1993,FC1X-X-1993-09-13-0710-S-0.15-0,BBC,,,7:10 AM,,0,0.15,,,,3,,20,,30,S1,11,,,,5.5,72.30%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,1,1,SW,,
FC1X,FC1,9/13/1993,FC1X-X-1993-09-13-0730-D-2.97-0,BBC,,,7:30 AM,,0,2.97,,,,3,,21,,31.5,S1,11,,,,6,81.10%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,1,1,SW,,
FC1X,FC1,9/24/1993,FC1X-X-1993-09-24-0707-S-0.15-0,BBC,,,7:07 AM,,0,0.15,,,,2.5,,18,,31.5,S1,11,,,,7,89.40%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,1,2,NW,,
FC1X,FC1,9/24/1993,FC1X-X-1993-09-24-0720-D-2.47-0,BBC,,,7:20 AM,,0,2.47,,,,2.5,,18.5,,31.5,S1,11,,,,7,90.30%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,1,2,NW,,
FC1X,FC1,5/24/1996,FC1X-X-1996-05-24-0725-D-1.6-0,BBC,,,7:25 AM,,0,1.6,,,,1.8,,16,,29,S1,,,,,9,108.90%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,F,3,2,NW,,
FC1X,FC1,5/24/1996,FC1X-X-1996-05-24-0700-S-0.15-0,BBC,,,7:00 AM,,0,0.15,,,,1.8,,16,,27,S1,,,,,7.5,89.70%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,F,3,2,NW,,
FC1X,FC1,5/28/1996,FC1X-X-1996-05-28-0735-D-2.1-0,BBC,,,7:35 AM,,0,2.1,,,,2.2,,15,,29,S1,,,,,7,83.00%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,E,3,1,SW,,
FC1X,FC1,5/28/1996,FC1X-X-1996-05-28-0720-S-0.15-0,BBC,,,7:20 AM,,0,0.15,,,,2.2,,15,,27,S1,,,,,6.5,76.10%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,E,3,1,SW,,
FC1X,FC1,6/2/1996,FC1X-X-1996-06-02-0635-D-2.2-0,BBC,,,6:35 AM,,0,2.2,,2.2,,2.3,,15,,29,S1,,,,,7.5,88.90%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,F,1,,SW,,
FC1X,FC1,6/2/1996,FC1X-X-1996-06-02-0620-S-0.15-0,BBC,,,6:20 AM,,0,0.15,,2.2,,2.3,,15,,27,S1,,,,,8.5,99.60%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,F,1,,SW,,
FC1X,FC1,6/7/1996,FC1X-X-1996-06-07-0650-D-1.4-0,BBC,,,6:50 AM,,0,1.4,,,,1.5,,17,,29,S1,,,,,7.5,92.60%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,E,2,1,SW,,
